date,new_confirmed,new_deceased,recovery_rate
2020-03-31,58142,9121,0.012568766886016268
2020-04-30,103223,32406,0.010227312349415048
2020-05-31,41770,9361,0.011566491083389563
2020-06-30,25523,2585,0.013397516474837756
2020-07-31,39510,1219,0.014447415085931897
2020-08-31,184893,1122,0.014816887424433555
2020-09-30,687936,3271,0.014836469301704642
2020-10-31,2393879,11376,0.014836509296436269
2020-11-30,2030427,32685,0.014667378256511503
2020-12-31,1138138,25541,0.014572814363783656
2021-01-31,1563322,25473,0.014664448234602443
2021-02-28,1486107,26057,0.014645969339343229
2021-03-31,2451464,25029,0.014755149483751086
2021-04-30,2432745,25779,0.014749382512767776
2021-05-31,1047052,14482,0.014701164059398262
2021-06-30,240002,4355,0.014636846765562294
2021-07-31,713232,2019,0.014865151444362826
2021-08-31,1504224,6062,0.014847274416066149
2021-09-30,567672,5511,0.014762629196675373
2021-10-31,325285,2499,0.014792825184282916
2021-11-30,1330475,4221,0.014860056481618613
2021-12-31,6648050,13279,0.014877574457489013
2022-01-31,8948804,7080,0.01489555660802313
2022-02-28,3562085,7436,0.014876231102310962
2022-03-31,2912028,3906,0.014887355089274
2022-04-30,2836138,3577,0.014888549333988628
2022-05-31,873865,2397,0.014866460150908216
2022-06-30,566203,712,0.014888604828211804
