date,country_code,new_tested,new_confirmed,new_deceased,new_recovered,recovery_rate
2020-05-31,MG,401,42,3,0,0.03128609934539854
2020-06-30,MGMG,622480,104,3,0,0.032720816918930126
2020-07-31,MGMGMGMGMGMG,766372776905,1469,31,0,0.03298171189304935
2020-08-31,MGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMG,829667721737739730514215536476590762336621412478339138414637482191532,2740,72,0,0.03280736616365318
2020-09-30,MGMGMGMGMGMGMGMGMGMGMGMGMGMG,413516436502469369571365439540223238372139,548,21,0,0.032401577901509035
2020-10-31,MGMGMG,481384204,64,4,0,0.031586927223719675
2021-03-31,MGMGMGMGMGMGMGMGMGMGMGMG,853597100081468763451012811158755972869,2484,93,0,0.03243127986770317
2021-04-30,MGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMG,120497438252868013661730128613891229800172232841907172216961738160311131264189712811207116556212521862133413641470,12662,222,0,0.03310199544363273
2021-05-31,MGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMG,55297341876114861000574724600537803435802907302573274471821619868460241384120675434262573202453,3789,180,0,0.03209211798375066
2021-06-30,MGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMG,4594135034003275873665176142754814705175984052887,631,52,0,0.03091614303228094
2021-07-31,MGMGMGMGMGMGMGMGMGMGMGMGMGMGMG,302415172507332394563148562156230792351063314,412,38,0,0.030585141182320155
2021-08-31,MGMGMGMGMG,528506329306219,26,5,0,0.0272133526850508
