date,new_confirmed,new_deceased,new_recovered,recovery_rate
2020-12-31,449779,7109,105943,63.268954845969894
2021-01-31,11988387,192590,2284497,62.24823199543071
2021-02-28,4547111,131111,1477024,34.68138447574955
2021-03-31,2084594,43548,215255,47.86888031597318
2021-04-30,1782054,21502,0,82.87852292809971
2021-05-31,884669,16635,0,53.18118425007514
2021-06-30,388906,10346,0,37.58998646820027
2021-07-31,1371899,9917,0,138.33810628214178
2021-08-31,4227398,34414,0,122.83948393095834
2021-09-30,4101730,73116,0,56.09893867279391
2021-10-31,2442160,49433,0,49.40343495235976
2021-11-30,2547134,32945,0,77.31473668234938
2021-12-31,6020092,39989,0,150.5436995173673
2022-01-31,19714507,63421,0,310.85140568581386
2022-02-28,3728496,67072,0,55.58945610687023
2022-03-31,925258,36161,0,25.587179558087442
2022-04-30,1178612,13545,0,87.01454411221853
2022-05-31,2818622,10108,0,278.8506133755441
2022-06-30,1833154,6004,0,305.32211858760826
2022-07-31,13123,117,0,112.16239316239316
2022-08-31,6761,198,0,34.14646464646464
2022-09-30,1256,123,0,10.211382113821138
