date,new_confirmed,new_deceased,new_recovered,recovery_rate
2020-12-31,106157,1506,0,70.48937583001327
2021-01-31,2446796,67596,0,36.1973489555595
2021-02-28,686882,28206,0,24.35233638233
2021-03-31,337622,5942,0,56.819589363850554
2021-04-30,151429,1308,0,115.77140672782875
2021-05-31,158323,572,0,276.78846153846155
2021-06-30,736519,833,0,884.1764705882352
2021-07-31,2136065,3495,0,611.1773962804006
2021-08-31,1970489,6307,0,312.4288885365467
2021-09-30,2035246,8120,0,250.64605911330048
2021-10-31,2527446,8411,0,300.4929259303293
2021-11-30,2454272,8387,0,292.6281149397878
2021-12-31,6621132,7703,0,859.5523821887576
2022-01-31,7467466,16047,0,465.3496603726553
2022-02-28,2818024,9875,0,285.3695189873418
2022-03-31,4455282,11298,0,394.3425385023898
2022-04-30,1607144,14375,0,111.80132173913043
2022-05-31,414836,5097,0,81.3882676083971
2022-06-30,453868,1603,0,283.13661883967563
2022-07-31,581849,4658,0,124.91391155002147
2022-08-31,169889,3197,0,53.14013137316234
2022-09-30,52406,550,0,95.28363636363636
