date,country_code,new_tested,new_confirmed,new_deceased,new_recovered
2021-07-01,MG,302,149,15,
2021-07-02,MG,415,23,1,
2021-07-03,MG,172,18,2,
2021-07-04,MG,645,8,0,
2021-07-05,MG,507,21,2,
2021-07-06,MG,332,18,1,
2021-07-07,MG,394,16,1,
2021-07-08,MG,394,19,0,
2021-07-09,MG,184,16,0,
2021-07-10,MG,563,17,2,
2021-07-11,MG,148,18,3,
2021-07-12,MG,519,0,0,
2021-07-13,MG,460,0,0,
2021-07-14,MG,404,0,0,
2021-07-15,MG,562,73,4,
2021-07-16,MG,156,16,1,
2021-07-17,MG,173,2,0,
2021-07-18,MG,100,13,0,
2021-07-19,MG,1241,7,0,
2021-07-20,MG,201,3,0,
2021-07-21,MG,230,20,2,
2021-07-22,MG,245,9,0,
2021-07-23,MG,471,9,0,
2021-07-24,MG,79,0,1,
2021-07-25,MG,235,8,1,
2021-07-26,MG,1063,8,1,
2021-07-27,MG,511,30,0,
2021-07-28,MG,314,7,1,
2021-07-29,MG,261,11,0,
2021-07-30,MG,170,2,0,
2021-07-31,MG,198,5,0,
2021-08-01,MG,652,2,0,
2021-08-02,MG,197,11,0,
2021-08-03,MG,,0,0,
2021-08-04,MG,,0,0,
2021-08-05,MG,,0,0,
2021-08-08,MG,211,6,0,
2021-08-09,MG,528,4,1,
2021-08-10,MG,506,4,1,
2021-08-11,MG,329,7,1,
2021-08-12,MG,306,9,1,
2021-08-13,MG,,0,0,
2021-08-15,MG,,0,0,
2021-08-16,MG,525,13,0,
2021-08-17,MG,779,4,0,
2021-08-18,MG,779,2,0,
2021-08-21,MG,219,2,1,
2021-08-22,MG,,0,0,
2021-08-26,MG,578,5,0,
2021-08-27,MG,,0,0,
2021-08-28,MG,,0,0,
2021-08-31,MG,,0,0,
2021-09-01,MG,693,5,0,
2021-09-02,MG,,0,0,
2021-09-03,MG,,0,0,
2021-09-04,MG,,0,0,
2021-09-05,MG,,0,0,
2021-09-06,MG,,0,0,
2021-09-07,MG,,0,0,
2021-09-08,MG,,0,0,
2021-09-09,MG,,0,0,
2021-09-10,MG,,0,0,
2021-09-12,MG,,0,0,
2021-09-13,MG,,0,0,
2021-09-14,MG,,0,0,
2021-09-15,MG,,0,0,
2021-09-16,MG,,0,0,
2021-09-17,MG,,0,0,
2021-09-18,MG,,0,0,
2021-09-19,MG,,0,0,
2021-09-20,MG,,0,0,
2021-09-21,MG,,0,0,
2021-09-22,MG,,0,0,
2021-09-24,MG,,0,0,
2021-09-25,MG,,0,0,
2021-09-26,MG,,0,0,
2021-09-27,MG,,0,0,
2021-09-28,MG,,0,0,
2021-09-29,MG,,0,0,
2021-10-01,MG,,0,0,
2021-10-02,MG,,0,0,
2021-10-03,MG,,0,0,
2021-10-04,MG,,0,0,
2021-10-05,MG,,0,0,
2021-10-06,MG,,0,0,
2021-10-08,MG,,0,0,
2021-10-09,MG,,0,0,
2021-10-10,MG,,0,0,
2021-10-11,MG,,0,0,
2021-10-12,MG,,0,0,
2021-10-13,MG,,0,0,
2021-10-15,MG,,0,0,
2021-10-16,MG,,0,0,
2021-10-17,MG,,0,0,
2021-10-18,MG,,0,0,
2021-10-19,MG,,0,0,
2021-10-20,MG,,0,0,
2021-10-22,MG,,0,0,
2021-10-23,MG,,0,0,
2021-10-24,MG,,0,0,
2021-10-25,MG,,0,0,
2021-10-26,MG,,0,0,
2021-10-27,MG,,0,0,
2021-10-29,MG,,0,0,
2021-10-30,MG,,0,0,
2021-10-31,MG,,0,0,
2021-11-01,MG,,0,0,
2021-11-02,MG,,0,0,
2021-11-03,MG,,0,0,
2021-11-05,MG,,0,0,
2021-11-06,MG,,0,0,
2021-11-07,MG,,0,0,
2021-11-08,MG,,0,0,
2021-11-09,MG,,0,0,
2021-11-10,MG,,0,0,
2021-11-11,MG,,0,0,
2021-11-12,MG,,0,0,
2021-11-13,MG,,0,0,
2021-11-14,MG,,0,0,
2021-11-15,MG,,0,0,
2021-11-16,MG,,0,0,
2021-11-17,MG,,0,0,
2021-11-19,MG,,0,0,
2021-11-20,MG,,0,0,
2021-11-21,MG,,0,0,
2021-11-22,MG,,0,0,
2021-11-23,MG,,0,0,
2021-11-24,MG,,0,0,
2021-11-26,MG,,0,0,
2021-11-27,MG,,0,0,
2021-11-28,MG,,0,0,
2021-11-29,MG,,0,0,
2021-11-30,MG,,0,0,
2021-12-01,MG,,0,0,
2021-12-03,MG,,0,0,
2021-12-04,MG,,0,0,
2021-12-05,MG,,0,0,
2021-12-06,MG,,0,0,
2021-12-07,MG,,0,0,
