date,country_code,new_tested,new_confirmed,new_deceased,new_recovered
2020-01-01,MG,,0,0,
2020-01-03,MG,,0,0,
2020-01-04,MG,,0,0,
2020-01-05,MG,,0,0,
2020-01-06,MG,,0,0,
2020-01-07,MG,,0,0,
2020-01-08,MG,,0,0,
2020-01-09,MG,,0,0,
2020-01-10,MG,,0,0,
2020-01-11,MG,,0,0,
2020-01-12,MG,,0,0,
2020-01-13,MG,,0,0,
2020-01-14,MG,,0,0,
2020-01-15,MG,,0,0,
2020-01-16,MG,,0,0,
2020-01-17,MG,,0,0,
2020-01-18,MG,,0,0,
2020-01-19,MG,,0,0,
2020-01-20,MG,,0,0,
2020-01-21,MG,,0,0,
2020-01-22,MG,,0,0,
2020-01-23,MG,,0,0,
2020-01-24,MG,,0,0,
2020-01-25,MG,,0,0,
2020-01-26,MG,,0,0,
2020-01-27,MG,,0,0,
2020-01-28,MG,,0,0,
2020-01-29,MG,,0,0,
2020-01-30,MG,,0,0,
2020-01-31,MG,,0,0,
2020-02-01,MG,,0,0,
2020-02-02,MG,,0,0,
2020-02-03,MG,,0,0,
2020-02-04,MG,,0,0,
2020-02-05,MG,,0,0,
2020-02-06,MG,,0,0,
2020-02-07,MG,,0,0,
2020-02-08,MG,,0,0,
2020-02-09,MG,,0,0,
2020-02-10,MG,,0,0,
2020-02-11,MG,,0,0,
2020-02-12,MG,,0,0,
2020-02-13,MG,,0,0,
2020-02-14,MG,,0,0,
2020-02-15,MG,,0,0,
2020-02-16,MG,,0,0,
2020-02-17,MG,,0,0,
2020-02-18,MG,,0,0,
2020-02-19,MG,,0,0,
2020-02-20,MG,,0,0,
2020-02-21,MG,,0,0,
2020-02-22,MG,,0,0,
2020-02-23,MG,,0,0,
2020-02-24,MG,,0,0,
2020-02-25,MG,,0,0,
2020-02-26,MG,,0,0,
2020-02-27,MG,,0,0,
2020-02-28,MG,,0,0,
2020-02-29,MG,,0,0,
2020-03-01,MG,,0,0,
2020-03-02,MG,,0,0,
2020-03-03,MG,,0,0,
2020-03-04,MG,,0,0,
2020-03-05,MG,,0,0,
2020-03-06,MG,,0,0,
2020-03-07,MG,,0,0,
2020-03-08,MG,,0,0,
2020-03-09,MG,,0,0,
2020-03-10,MG,,0,0,
2020-03-11,MG,,0,0,
2020-03-12,MG,,0,0,
2020-03-13,MG,,0,0,
2020-03-14,MG,,0,0,
2020-03-15,MG,,0,0,
2020-03-16,MG,,0,0,
2020-03-17,MG,,0,0,
2020-03-18,MG,,0,0,
2020-03-19,MG,,0,0,
2020-03-20,MG,,0,0,
2020-03-23,MG,,0,0,
2020-03-24,MG,,0,0,
2020-03-29,MG,,0,0,
2020-04-09,MG,,0,0,
2020-04-11,MG,,0,0,
2020-04-15,MG,,0,0,
2020-04-17,MG,,0,0,
2020-04-19,MG,,0,0,
2020-04-20,MG,,0,0,
2020-04-21,MG,,0,0,
2020-04-22,MG,,0,0,
2020-04-26,MG,,0,0,
2020-04-27,MG,,0,0,
2020-04-28,MG,42,0,0,
2020-04-29,MG,121,4,0,
2020-04-30,MG,72,3,0,
2020-05-03,MG,,0,0,
2020-05-04,MG,,0,0,
2020-05-05,MG,,0,0,
2020-05-10,MG,984,15,0,
2020-05-27,MG,167,44,0,
2020-05-28,MG,401,42,3,
2020-06-21,MG,622,44,1,
2020-06-28,MG,480,60,2,
2020-07-04,MG,,0,3,
2020-07-15,MG,766,484,10,
2020-07-19,MG,,0,3,
2020-07-24,MG,372,125,2,
2020-07-25,MG,776,429,7,
2020-07-29,MG,905,431,6,
2020-08-04,MG,829,327,4,
2020-08-05,MG,667,304,7,
2020-08-06,MG,721,182,1,
2020-08-07,MG,737,214,6,
2020-08-08,MG,739,164,7,
2020-08-09,MG,730,116,3,
2020-08-10,MG,514,115,1,
2020-08-11,MG,215,80,4,
2020-08-12,MG,536,125,6,
2020-08-13,MG,476,121,2,
2020-08-14,MG,590,81,2,
2020-08-15,MG,762,103,4,
2020-08-16,MG,336,59,1,
2020-08-17,MG,621,123,2,
2020-08-18,MG,264,65,0,
2020-08-19,MG,412,80,4,
2020-08-20,MG,478,64,1,
